股票,今日增幅,var1[0],var1[1],var1[2],是否最低标志,var7[0],var7[1],var7[2],ttm,near3,near5,near10,near,ttm_ind,pb,pb_ind,value,roe,roe_near3_ind,roe_near5_ind,roe_near_ind
平安银行(000001),-0.4732927653820048,5.572316071934466,16.226900978118266,18.32582778514012,False,26.383239329008646,25.556387366402134,24.236271444231534,10.13,80.7%,83.4%,83.6%,43.5%,7,0.91,0.77,2856.55 亿,11.3%,13.85%,12.96%,17.82%
万科A(000002),-0.09637006103436423,47.57283838647251,69.51990301315473,81.85800584062994,False,51.771766009876565,62.62555960592595,68.9503357635556,9.24,30.9%,19.3%,30.4%,15%,17.61,2.1,1.93,3514.97 亿,25.83%,7.67%,8.13%,7.61%
深天马A(000050),0.7789095266626663,11.262537592647675,8.502175174848588,12.384543567215246,False,70.0909774043991,65.76629815435119,64.10842754125936,50.34,93.8%,88.8%,63.5%,52.9%,46.55,1.28,4.91,344.49 亿,2.91%,8.52%,7.05%,14.48%
中兴通讯(000063),-3.040293040293047,49.578905029846965,69.83997521738726,59.30190528649297,False,81.39842599997664,87.81186526765971,85.67546414894082,55.41,78.2%,93.4%,97.1%,90.7%,52.01,8.79,4.66,2440.07 亿,15.63%,6.14%,2.99%,13.79%
中国长城(000066),-0.19493177387914967,10.660973509587222,19.518937219988743,25.400722394137688,False,66.06252151907029,67.51630079023005,68.17466460961039,47.06,51.6%,36.2%,37.8%,44.3%,50.79,7.19,4.51,449.77 亿,12.95%,6.77%,3.36%,15.06%
TCL科技(000100),0.6289308176100634,4.278987047818987,8.99156038443931,16.21381088786069,False,66.4126900710663,65.57199566808147,65.63295005102556,24.35,87.4%,86.7%,76.2%,69%,30.36,2.85,3.08,865.82 亿,12.26%,11.19%,10.25%,15.13%
美的集团(000333),0.2944423997055513,36.690650970742524,47.12781613458827,57.62533763625203,False,38.50285615411145,39.753773289311745,41.06523505158879,16.11,37.4%,60.1%,64%,64%,30.36,3.88,3.08,3808.98 亿,26.58%,11.19%,10.25%,15.13%
潍柴动力(000338),-1.5686274509803935,39.4601907276045,66.83881746229713,66.35425145959985,True,53.18461359625177,67.03271937726328,72.477696142487,12.3,76.3%,53.6%,60.6%,59.1%,34.88,2.79,2.6,1194.84 亿,23.74%,5.48%,3.84%,12.89%
云南白药(000538),-0.4613466334164645,8.050824755885287,21.34973361321721,33.104847968441646,False,18.512838432234275,18.329925281562804,17.192399613382136,24.77,17.8%,26.6%,20.1%,11.1%,37.51,2.73,3.82,1019.75 亿,10.6%,11.83%,10.19%,15.21%
格力电器(000651),-0.06663334999166941,18.673304198493042,36.69288692129962,46.99698393070649,False,20.417830591471585,19.87560227494445,19.427282963736857,13.27,66.1%,77.9%,80.1%,46.3%,30.36,3.58,3.08,3608.84 亿,27.66%,11.19%,10.25%,15.13%
京东方A(000725),0.1968503937007832,6.654065417511646,3.6724080090200175,6.049522657923802,False,66.59516026233094,63.03401923432163,61.11711483729627,92.82,98.8%,92.1%,89%,90.2%,46.55,2.04,4.91,1771.24 亿,2.18%,8.52%,7.05%,14.48%
新希望(000876),1.8846153846153786,79.71008622117125,89.05106110047518,86.18778679686983,False,89.63853472845983,92.5801133182789,92.34806799096734,33.58,80%,87.2%,87.7%,73.9%,36.94,4.64,3.55,1116.82 亿,15.82%,5%,6.62%,9.41%
双汇发展(000895),0.23508668821627474,24.539337182114707,22.204120454675262,25.672800066024337,False,83.05545751964758,81.26184594035998,80.5122096050323,21.75,97.2%,95.7%,59.9%,39.2%,38.19,7.45,4.05,1132.21 亿,37.87%,9.8%,8.9%,14.05%
紫光股份(000938),-0.6820119352088667,49.079231650877546,37.91022655374073,26.48716508818177,False,84.04828112003285,81.42641112726268,79.30767958343348,53.38,90.9%,62.7%,51%,30.4%,50.79,3.45,4.51,952 亿,6.68%,6.77%,3.36%,15.06%
华东医药(000963),0.557244174265466,4.84109674738491,18.885350039316435,42.202839820906476,False,15.88090675500315,15.207556398680891,15.482558530566564,13,0.6%,0.4%,0.2%,0.1%,37.51,2.98,3.82,347.34 亿,25.09%,11.83%,10.19%,15.21%
银泰黄金(000975),2.0863309352517923,11.452922701492525,-1.8765711478928324,2.7989848280566605,True,63.506290257802256,57.781770576863835,56.422192936458195,33.45,26.6%,17.1%,17%,27.2%,33.5,3.2,2.73,281.44 亿,10.56%,4.38%,6.37%,8.8%
浪潮信息(000977),1.9815668202764967,11.079355514614889,5.177583538950643,9.354576772661517,False,73.92812606851234,70.3138869000634,69.90583469889167,70.97,62.6%,67.4%,53.8%,40.3%,50.79,5.96,4.51,570.62 亿,9.67%,6.77%,3.36%,15.06%
招商蛇口(001979),0.05399568034558079,11.770410113881269,52.78183557050201,72.90519849786097,True,35.44334543131952,46.15911889774658,53.543137186313814,12.17,44.2%,38%,38%,38%,17.61,1.92,1.93,1466.87 亿,13.01%,7.67%,8.13%,7.61%
华兰生物(002007),4.679744741195927,53.547183541473345,69.47293050729925,77.59849138280813,False,66.98931917451766,69.18597084425336,76.91040702376446,46.25,97%,76.2%,79.3%,65.6%,37.51,9.99,3.82,621.41 亿,23.82%,11.83%,10.19%,15.21%
苏宁易购(002024),0.7391763463569008,12.084330401935631,18.26666855461164,30.240200034621836,False,26.94758688999531,26.911409276854346,28.489702708969734,4.65,0.8%,0.5%,0.3%,0.2%,24.07,0.98,2.03,888.18 亿,30.18%,4.08%,2.61%,10.03%
分众传媒(002027),-0.9174311926605472,13.332129923238455,20.40664389571299,19.34574074885667,False,23.82468002408384,22.737019069726685,21.07939737148426,33.39,86.1%,69.1%,55.3%,57.4%,30.93,5.88,2.74,792.61 亿,11.8%,6.13%,0.28%,9.24%
sz002034,3.053931124106555,72.47254399772692,86.44932661663884,93.55326581016715,False,57.23151603227967,66.15935849717329,76.20434327785507,,,,,,,,,,,,,
美年健康(002044),2.386278896346013,2.816973848053422,18.80305189003471,41.700159277164076,False,28.516816472543,28.279901204280517,33.59539170296047,67.44,30.2%,20.8%,38.8%,49.8%,48.1,8.3,5.99,538.21 亿,12.17%,11.43%,10.15%,16.39%
紫光国微(002049),-0.28333333333333616,-4.584702385145505,-4.013622608195391,1.1628469511044273,False,64.82666415643715,62.0145016123654,60.04445980317807,85.36,74.7%,74.4%,76.5%,82.8%,46.55,8.75,4.91,363.06 亿,11.04%,8.52%,7.05%,14.48%
顺络电子(002138),-0.4814814814814778,20.770657526020045,8.955943658529662,3.104141617659735,False,65.28215267239152,58.964373570648036,54.64091922435603,52.33,99%,95%,94%,94.6%,46.55,5.02,4.91,216.66 亿,8.67%,8.52%,7.05%,14.48%
宁波银行(002142),0.674409891345072,12.706261204551623,52.404850660010226,74.7879882967907,False,25.495468348217376,32.97000828165769,39.44302191814716,11.66,85.2%,88.9%,81%,69.3%,7,1.55,0.77,1512.33 亿,17.19%,13.85%,12.96%,17.82%
石基信息(002153),-1.5094339622641524,7.266390528874524,28.16132127961106,40.368570722355145,False,68.26702329155711,71.67588128634625,72.07064804969299,95.19,99.5%,92%,95.8%,96.4%,56.75,5.22,5.74,446.67 亿,5.61%,8.99%,5.34%,16.98%
游族网络(002174),-4.991816693944363,37.087458405370796,16.087245827124633,6.635441554896502,False,30.888767996456135,19.184074314769813,13.399216886868182,20,46.1%,29.8%,17.5%,14.7%,56.75,3.77,5.74,206.3 亿,19.99%,8.99%,5.34%,16.98%
鱼跃医疗(002223),-1.440922190201729,84.54851466479235,84.38816886558615,74.81349453470008,False,88.0213044192246,89.8526796914318,88.88635528960658,42.22,95.1%,62.6%,48.4%,44.6%,48.1,5.66,5.99,342.85 亿,14.85%,11.43%,10.15%,16.39%
科大讯飞(002230),7.405590975968603,16.17764832728446,35.61860202397821,60.581176051873314,False,72.97567683383652,75.41735054474637,82.03585384466435,138.25,52.5%,65.7%,79.1%,80.8%,56.75,8.59,5.74,962.98 亿,10.36%,8.99%,5.34%,16.98%
大华股份(002236),-1.4940239043824561,5.420607148812337,7.845121981878464,6.159122503734864,False,51.88210430642302,48.002924254089336,43.98357273427179,20.93,54.3%,34.8%,18.9%,17.3%,54.01,4.21,5.02,594.98 亿,21.79%,9.08%,6.98%,14.52%
恒邦股份(002237),1.6678248783877705,0.38123769726280443,-2.080592197499584,8.965365908956727,False,55.04531512077547,49.49305252628054,48.08940581295709,36.37,67.4%,46.4%,54.2%,49.9%,37.9,2.9,2.94,133.19 亿,7.44%,5.14%,2.82%,13.06%
歌尔股份(002241),0.34934497816594695,4.250918898796897,-0.2208005027036961,0.2252626009141636,False,55.24270674275867,48.904786349320105,45.52088228079625,74.83,96.8%,98%,91.1%,91.3%,46.55,4.69,4.91,745.72 亿,6.4%,8.52%,7.05%,14.48%
恩华药业(002262),0.0,5.563774375047103,17.378596415997777,31.39793396821699,False,49.69922845713075,49.59226434700571,49.52808588093068,18.69,8.9%,5.8%,3.1%,2.9%,37.51,3.36,3.82,116.52 亿,19.67%,11.83%,10.19%,15.21%
