date,ttm
20110104,53.6945
20110105,51.9675
20110106,51.4126
20110107,51.4126
20110110,49.9971
20110111,50.2802
20110112,50.3425
20110113,51.5259
20110114,50.4557
20110117,48.0153
20110118,46.6564
20110119,48.1908
20110120,47.4491
20110121,47.4491
20110124,45.2975
20110125,44.6633
20110126,45.3201
20110127,45.6542
20110128,45.6315
20110131,45.892
20110201,45.2465
20110209,45.1786
20110210,46.7357
20110211,46.713
20110214,48.1286
20110215,47.5623
20110216,47.3868
20110217,47.2509
20110218,46.1468
20110221,49.1478
20110222,47.4321
20110223,47.1094
20110224,48.8477
20110225,49.8272
20110228,48.876
20110301,49.697
20110302,48.9779
20110303,48.2588
20110304,47.7888
20110307,48.3437
20110308,49.7989
20110309,49.0515
20110310,49.2667
20110311,48.7004
20110314,49.4875
20110315,50.3311
20110316,51.8939
20110317,51.1692
20110318,50.3991
20110321,42.0611
20110322,41.2101
20110323,41.31
20110324,41.1198
20110325,41.2529
20110328,39.8316
20110329,39.0947
20110330,39.3799
20110331,39.1137
20110401,38.529
20110406,37.2218
20110407,37.2218
20110408,37.6971
20110411,37.6971
20110412,36.1284
20110413,37.3263
20110414,37.7827
20110415,37.9776
20110418,37.6021
20110419,38.3579
20110420,37.2883
20110421,36.5182
20110422,36.1854
20110425,36.0143
20110426,36.4136
20110427,35.5675
20110428,33.2096
20110429,32.0518
20110503,33.0449
20110504,32.3949
20110505,32.5032
20110506,32.9546
20110509,34.3089
20110510,34.4895
20110511,34.8868
20110512,34.3089
20110513,34.336
20110516,34.3541
20110517,34.2818
20110518,34.3631
20110519,33.7853
20110520,32.8463
20110523,32.2414
20110524,32.2594
20110525,32.3407
20110526,31.2663
20110527,30.0023
20110530,30.7065
20110531,31.808
20110601,32.3317
20110602,32.9366
20110603,33.5234
20110607,32.8463
20110608,32.6386
20110609,32.0969
20110610,32.1872
20110613,32.4129
20110614,33.1804
20110615,32.3317
20110616,31.8622
20110617,31.6094
20110620,31.1489
20110621,31.2121
20110622,32.0608
20110623,32.9908
20110624,33.9929
20110627,33.9929
20110628,34.4895
20110629,34.8687
20110630,35.4736
20110701,35.6994
20110704,36.1598
20110705,36.1418
20110706,36.2501
20110707,37.0898
20110708,37.1078
20110711,37.1259
20110712,37.8662
20110713,37.3426
20110714,38.8233
20110715,40.4936
20110718,39.672
20110719,40.1595
20110720,39.7261
20110721,39.2928
20110722,38.733
20110725,38.6788
20110726,40.0873
20110727,40.8999
20110728,42.507
20110729,41.6673
20110801,36.6499
20110802,36.8988
20110803,38.4007
20110804,38.1849
20110805,38.9981
20110808,37.9277
20110809,37.4631
20110810,37.7452
20110811,39.0064
20110812,39.0894
20110815,39.8029
20110816,39.413
20110817,38.5666
20110818,35.7621
20110819,35.928
20110822,35.4634
20110823,36.7163
20110824,37.2556
20110825,37.2556
20110826,37.0067
20110829,36.5088
20110830,35.6957
20110831,35.8865
20110901,35.7372
20110902,35.48
20110905,34.9074
20110906,35.1232
20110907,35.4551
20110908,35.8616
20110909,35.4136
20110913,34.5838
20110914,34.8577
20110915,35.2808
20110916,35.3472
20110919,35.173
20110920,35.1813
20110921,35.8699
20110922,35.6542
20110923,35.9031
20110926,35.2476
20110927,33.92
20110928,32.9741
20110929,32.9575
20110930,32.9741
20111010,33.5218
20111011,34.0196
20111012,34.924
20111013,34.3385
20111014,34.4649
20111017,34.4412
20111018,33.8406
20111019,32.7974
20111020,32.4022
20111021,31.2958
20111024,31.9597
20111025,33.5086
20111026,34.1409
20111027,33.8485
20111028,34.3859
20111031,34.8284
20111101,34.5756
20111102,35.192
20111103,35.4449
20111104,34.8838
20111107,34.0935
20111108,33.888
20111109,34.6704
20111110,34.623
20111111,34.8522
20111114,35.4844
20111115,35.5002
20111116,34.457
20111117,34.3385
20111118,32.995
20111121,33.1688
20111122,33.4691
20111123,33.2399
20111124,33.5086
20111125,32.9633
20111128,32.3311
20111129,32.1651
20111130,32.2363
20111201,32.7184
20111202,31.8648
20111205,33.2083
20111206,33.9986
20111207,33.9749
20111208,34.8126
20111209,35.0102
20111212,34.6941
20111213,34.6941
20111214,33.9828
20111215,33.6667
20111216,33.5877
20111219,33.9828
20111220,34.6151
20111221,33.4296
20111222,33.9038
20111223,34.1646
20111226,34.1804
20111227,34.1014
20111228,33.8248
20111229,33.5324
20111230,33.9828
20120104,33.2953
20120105,31.6119
20120106,32.2442
20120109,32.7184
20120110,33.6272
20120111,33.6114
20120112,32.7974
20120113,31.7779
20120116,31.28
20120117,31.849
20120118,28.6641
20120119,28.9565
20120120,29.0198
20120130,29.1462
20120131,29.2252
20120201,29.1778
20120202,29.4939
20120203,30.3554
20120206,30.3475
20120207,29.8733
20120208,30.4265
20120209,30.0629
20120210,29.3596
20120213,29.0039
20120214,30.5845
20120215,30.6715
20120216,30.466
20120217,30.3
20120220,31.1378
20120221,31.5803
20120222,33.1767
20120223,33.1767
20120224,32.9396
20120227,33.4375
20120228,33.1925
20120229,32.5445
20120301,32.8764
20120302,33.1135
20120305,32.9871
20120306,33.7536
20120307,34.0461
20120308,33.9828
20120309,33.9828
20120312,34.781
20120313,34.7731
20120314,33.8406
20120315,33.4533
20120316,33.5719
20120319,34.9233
20120320,34.0619
20120321,33.3585
20120322,33.5877
20120323,33.9828
20120326,33.9828
20120327,34.1567
20120328,33.3506
20120329,33.3427
20120330,33.6667
20120405,34.4175
20120406,34.378
20120409,35.0102
20120410,34.8205
20120411,34.6783
20120412,34.623
20120413,34.3227
20120416,34.291
20120417,33.9828
20120418,34.378
20120419,33.7457
20120420,34.2831
20120423,34.2831
20120424,28.7413
20120425,28.9965
20120426,29.7236
20120427,29.4621
20120502,29.3409
20120503,28.9263
20120504,29.0858
20120507,30.4508
20120508,30.4316
20120509,29.966
20120510,30.6102
20120511,29.8639
20120514,29.4238
20120515,29.4366
20120516,29.1559
20120517,29.4685
20120518,29.4685
20120521,28.6712
20120522,28.2566
20120523,28.8306
20120524,29.4047
20120525,28.8306
20120528,29.0539
20120529,29.8065
20120530,29.9724
20120531,30.1063
20120601,29.7555
20120604,30.3551
20120605,29.7109
20120606,30.9164
20120607,30.9993
20120608,32.0071
20120611,33.1744
20120612,32.9766
20120613,33.691
20120614,33.7165
20120615,33.1425
20120618,34.2013
20120619,34.0354
20120620,33.3466
20120621,33.2318
20120625,33.0787
20120626,32.7853
20120627,34.5585
20120628,34.3544
20120629,34.6988
20120702,35.9235
20120703,36.4848
