date,ttm
20110104,20.9774
20110105,21.3373
20110106,21.5172
20110107,20.9415
20110110,20.8515
20110111,20.3298
20110112,20.6536
20110113,20.4377
20110114,19.772
20110117,19.0704
20110118,19.0704
20110119,19.5382
20110120,18.2608
20110121,18.1888
20110124,17.901
20110125,17.865
20110126,18.2248
20110127,18.4227
20110128,18.4407
20110131,18.6386
20110201,18.8185
20110209,18.5667
20110210,19.1424
20110211,19.2503
20110214,19.808
20110215,19.5741
20110216,20.2938
20110217,20.8515
20110218,20.3837
20110221,21.1753
20110222,20.5097
20110223,20.7256
20110224,20.3837
20110225,20.2218
20110228,20.4917
20110301,20.2938
20110302,20.4557
20110303,19.9879
20110304,20.2398
20110307,20.7256
20110308,20.7975
20110309,20.5097
20110310,20.4377
20110311,20.3118
20110314,21.0674
20110315,20.2938
20110316,21.1665
20110317,20.6454
20110318,20.7353
20110321,20.5736
20110322,20.3759
20110323,20.6454
20110324,20.4657
20110325,20.7532
20110328,21.0946
20110329,21.0767
20110330,21.3462
20110331,20.4837
20110401,20.5017
20110406,20.5017
20110407,20.4657
20110408,20.4657
20110411,20.1244
20110412,20.4837
20110413,20.8431
20110414,20.5017
20110415,20.4837
20110418,20.9868
20110419,20.1423
20110420,20.0345
20110421,20.4478
20110422,19.5853
20110425,18.6689
20110426,18.633
20110427,18.4893
20110428,18.04
20110429,17.4771
20110503,17.7491
20110504,17.137
20110505,17.2221
20110506,17.2731
20110509,17.3241
20110510,17.3581
20110511,17.3751
20110512,17.018
20110513,19.7372
20110516,19.7372
20110517,19.9122
20110518,19.8539
20110519,19.815
20110520,19.9317
20110523,19.1539
20110524,18.9594
20110525,18.4927
20110526,18.2788
20110527,18.2399
20110530,17.7149
20110531,18.0844
20110601,18.1038
20110602,17.8316
20110603,18.0649
20110607,18.2205
20110608,18.1038
20110609,17.6566
20110610,17.6954
20110613,17.6954
20110614,17.8899
20110615,17.7343
20110616,17.3065
20110617,17.2482
20110620,16.8787
20110621,17.0732
20110622,17.0732
20110623,17.4038
20110624,17.8899
20110627,17.9288
20110628,17.9288
20110629,17.5593
20110630,17.851
20110701,17.9871
20110704,18.5316
20110705,18.4538
20110706,18.8233
20110707,19.1539
20110708,19.115
20110711,19.1733
20110712,18.551
20110713,18.8427
20110714,19.0177
20110715,19.0955
20110718,19.3094
20110719,19.0372
20110720,19.1344
20110721,19.2316
20110722,19.5039
20110725,18.9011
20110726,18.8427
20110727,18.9011
20110728,18.6483
20110729,18.1427
20110801,18.1621
20110802,18.0649
20110803,18.1038
20110804,18.1621
20110805,17.7732
20110808,17.0732
20110809,17.0148
20110810,17.4232
20110811,17.5788
20110812,17.6566
20110815,17.9093
20110816,17.6954
20110817,17.6566
20110818,17.4815
20110819,17.4986
20110822,17.4587
20110823,17.7776
20110824,17.658
20110825,18.1563
20110826,18.1563
20110829,17.7377
20110830,17.3989
20110831,17.5185
20110901,17.6979
20110902,17.6979
20110905,17.2793
20110906,17.1199
20110907,17.4786
